k    none    reg    psf1      psf5      psf25
225  6.6631266074e+05   3.4196689675e+00   1.1096884570e+00   1.0914018447e+00    1.0415926837e+00
226  6.6302758808e+05   3.4164013462e+00   1.1094391937e+00   1.0909443469e+00    1.0415031111e+00
227  6.6098695384e+05   3.3547486410e+00   1.1088631547e+00   1.0906162029e+00    1.0411334705e+00
228  6.6019175246e+05   3.3527081762e+00   1.1085208266e+00   1.0901669155e+00    1.0409513386e+00
229  6.5487979789e+05   3.3126854405e+00   1.1077417685e+00   1.0900087987e+00    1.0408355516e+00
230  6.5387009594e+05   3.2897302923e+00   1.1072030444e+00   1.0895536985e+00    1.0406488461e+00
231  6.5322976827e+05   3.2739103414e+00   1.1070443887e+00   1.0890660173e+00    1.0405497406e+00
232  6.5163170825e+05   3.2594665550e+00   1.1062693888e+00   1.0886416364e+00    1.0403947071e+00
233  6.5077459207e+05   3.2239066535e+00   1.1056050817e+00   1.0882923715e+00    1.0401240921e+00
234  6.4721646311e+05   3.2190300740e+00   1.1051329052e+00   1.0878088509e+00    1.0400040307e+00
235  6.4471906675e+05   3.1693575565e+00   1.1044068367e+00   1.0874694896e+00    1.0398937423e+00
236  6.4286738472e+05   3.1621864789e+00   1.1043220623e+00   1.0870684077e+00    1.0396527544e+00
237  6.4135338056e+05   3.1217048964e+00   1.1024176593e+00   1.0868802017e+00    1.0393950010e+00
238  6.4060786843e+05   3.1098529804e+00   1.1023577758e+00   1.0865674141e+00    1.0392514862e+00
239  6.3996850924e+05   3.0934605726e+00   1.1018125582e+00   1.0864130761e+00    1.0391426627e+00
240  6.3891405898e+05   3.0701611705e+00   1.1016813789e+00   1.0862813059e+00    1.0389968045e+00
241  6.3560727508e+05   3.0617309598e+00   1.1006365303e+00   1.0861130276e+00    1.0388520732e+00
242  6.3515128296e+05   3.0156348386e+00   1.1002678232e+00   1.0857015158e+00    1.0387069272e+00
243  6.3286236505e+05   2.9875100093e+00   1.0999804932e+00   1.0851032865e+00    1.0384900710e+00
244  6.3245630533e+05   2.9765945498e+00   1.0989355412e+00   1.0847867102e+00    1.0382494836e+00
245  6.3148509386e+05   2.9745373183e+00   1.0983516773e+00   1.0843477861e+00    1.0381955012e+00
246  6.2867548909e+05   2.9557851753e+00   1.0981092183e+00   1.0838626174e+00    1.0381005534e+00
247  6.2815949734e+05   2.9387936161e+00   1.0975378273e+00   1.0836348258e+00    1.0380312636e+00
248  6.2757632404e+05   2.9102353973e+00   1.0969512717e+00   1.0834395551e+00    1.0378341534e+00
249  6.2719445754e+05   2.8922365920e+00   1.0968993610e+00   1.0828905044e+00    1.0372094737e+00
250  6.2553565912e+05   2.8614777633e+00   1.0968227472e+00   1.0828166203e+00    1.0371262698e+00
251  6.2467094458e+05   2.8538647419e+00   1.0965771848e+00   1.0825039794e+00    1.0369757797e+00
252  6.2383399557e+05   2.8412914787e+00   1.0961425852e+00   1.0821245176e+00    1.0367845640e+00
253  6.2272725067e+05   2.8227809970e+00   1.0955299352e+00   1.0819274682e+00    1.0364582678e+00
254  6.2269532100e+05   2.7958671707e+00   1.0954408994e+00   1.0816874100e+00    1.0363697042e+00
255  6.2167523346e+05   2.7692470435e+00   1.0951405137e+00   1.0815407435e+00    1.0361545930e+00
256  6.2057796743e+05   2.7668750589e+00   1.0948282983e+00   1.0814674174e+00    1.0359996197e+00
257  6.2015071335e+05   2.7557999536e+00   1.0940388366e+00   1.0811465045e+00    1.0358146477e+00
258  6.1900125875e+05   2.7313501442e+00   1.0935423871e+00   1.0807180896e+00    1.0356579567e+00
259  6.1772805900e+05   2.7103272909e+00   1.0921322615e+00   1.0802891948e+00    1.0354667405e+00
260  6.1688322443e+05   2.7060401490e+00   1.0913808545e+00   1.0799898742e+00    1.0352084795e+00
261  6.1597540728e+05   2.7006927379e+00   1.0910845881e+00   1.0799003765e+00    1.0351196973e+00
262  6.1521811903e+05   2.6615097086e+00   1.0908987658e+00   1.0796344240e+00    1.0348448928e+00
263  6.1151823286e+05   2.6518806599e+00   1.0904902966e+00   1.0795722476e+00    1.0347624843e+00
264  6.1064896862e+05   2.6417563527e+00   1.0900435389e+00   1.0785984901e+00    1.0346838202e+00
265  6.1001565704e+05   2.6173435389e+00   1.0899381553e+00   1.0783847412e+00    1.0345622835e+00
266  6.0751138341e+05   2.6048760373e+00   1.0885077005e+00   1.0782681184e+00    1.0343868406e+00
267  6.0704003145e+05   2.5811749370e+00   1.0881813624e+00   1.0778701093e+00    1.0341861193e+00
