k reg psf1 psf5 psf25 
431 9.630060 1.213702 1.223719 1.154525
432 9.602503 1.212945 1.222279 1.153710
433 9.561898 1.211597 1.221962 1.152446
434 9.471689 1.209969 1.221093 1.152371
435 9.453073 1.209694 1.220634 1.151650
436 9.449747 1.208339 1.220454 1.151299
437 9.337334 1.207023 1.219268 1.150706
438 9.228398 1.206647 1.218992 1.150433
439 9.157183 1.205965 1.217995 1.149787
440 9.150966 1.205392 1.217640 1.149716
441 9.129198 1.204754 1.216972 1.149375
442 9.000274 1.203975 1.216095 1.148567
443 8.970504 1.203244 1.214903 1.147536
444 8.939842 1.202956 1.214111 1.146959
445 8.841574 1.202779 1.213515 1.146659
446 8.791712 1.202192 1.213105 1.146312
447 8.771823 1.201986 1.212683 1.145971
448 8.739460 1.201123 1.212212 1.144601
449 8.674192 1.200876 1.211789 1.143869
450 8.622166 1.200273 1.211001 1.143774
451 8.516469 1.199698 1.210244 1.143567
452 8.502264 1.198519 1.209479 1.142851
453 8.440730 1.198084 1.209308 1.142280
454 8.406850 1.197454 1.208007 1.142096
455 8.354215 1.195817 1.207083 1.141465
456 8.336634 1.195371 1.206443 1.140494
457 8.305560 1.193535 1.205647 1.139726
458 8.267938 1.191896 1.205451 1.138963
459 8.156178 1.191376 1.204846 1.138605
460 8.095514 1.189418 1.204306 1.138399
461 8.050188 1.188924 1.203686 1.138138
462 7.995373 1.188475 1.202771 1.137819
463 7.973966 1.188330 1.201000 1.136944
464 7.927459 1.187405 1.200577 1.136505
465 7.854835 1.185346 1.198550 1.135756
466 7.810739 1.185114 1.197070 1.135114
467 7.767432 1.184168 1.196767 1.135079
468 7.751203 1.183096 1.196104 1.134437
469 7.707038 1.183039 1.194624 1.133914
470 7.678009 1.181582 1.193719 1.133643
471 7.612788 1.181353 1.193422 1.133170
472 7.546062 1.180166 1.192752 1.132175
473 7.510238 1.179650 1.191530 1.131975
474 7.485053 1.179175 1.191167 1.131625
475 7.477803 1.178811 1.190526 1.131251
476 7.382699 1.177650 1.188016 1.130925
477 7.368698 1.177337 1.187388 1.130394
478 7.344242 1.177146 1.186536 1.130175
479 7.297608 1.176161 1.186373 1.130012
480 7.266717 1.175661 1.185523 1.129346
481 7.214982 1.175068 1.184310 1.128479
482 7.195601 1.172928 1.183498 1.127655
483 7.162320 1.172351 1.183064 1.126731
484 7.129796 1.171511 1.182539 1.126302
485 7.066064 1.170252 1.181372 1.126157
486 7.030153 1.169775 1.180167 1.125644
487 6.981814 1.169086 1.179084 1.125517
488 6.957399 1.168781 1.178256 1.125198
489 6.895747 1.168300 1.178075 1.124849
490 6.878320 1.167649 1.177952 1.124416
491 6.809210 1.166934 1.177661 1.123588
492 6.781491 1.165943 1.176707 1.122750
493 6.766220 1.165753 1.175900 1.121587
494 6.722317 1.165188 1.175320 1.121477
495 6.711270 1.164451 1.174352 1.121200
496 6.691873 1.163569 1.173947 1.120620
497 6.672931 1.163252 1.173522 1.120040
498 6.632916 1.161861 1.172526 1.119457
499 6.557640 1.160950 1.171544 1.118882
500 6.542647 1.160353 1.170987 1.118241
501 6.498319 1.159603 1.170624 1.117755
502 6.471628 1.159132 1.170541 1.117201
503 6.446303 1.158308 1.169685 1.117147
504 6.428961 1.157968 1.169283 1.116892
505 6.378129 1.156980 1.168768 1.116687
506 6.334603 1.155766 1.168163 1.116266
507 6.316581 1.154849 1.166114 1.115998
508 6.291195 1.154448 1.165697 1.115840
509 6.253452 1.154078 1.165422 1.115525
510 6.204273 1.152512 1.165306 1.115204
511 6.194226 1.152063 1.164209 1.114463
512 6.151568 1.151455 1.163944 1.113212
513 6.141866 1.150887 1.162886 1.112925
514 6.118798 1.150337 1.162356 1.112178
515 6.067431 1.149334 1.162166 1.111904
516 6.058658 1.148567 1.161189 1.110972
517 6.026913 1.147908 1.160946 1.110729
518 5.999493 1.147230 1.160377 1.109933
519 5.941621 1.147035 1.159348 1.109481
520 5.913584 1.146035 1.158402 1.109022
521 5.879115 1.145226 1.157507 1.108954
522 5.862710 1.144436 1.157329 1.108444
523 5.829266 1.144009 1.156951 1.108254
524 5.793841 1.142928 1.155651 1.107971
525 5.786406 1.142146 1.154626 1.107885
526 5.774442 1.141737 1.154500 1.107514
527 5.700228 1.140909 1.154139 1.107140
528 5.675982 1.140172 1.153444 1.106941
529 5.635788 1.139580 1.152919 1.106247
530 5.626731 1.139160 1.152526 1.106164
531 5.610152 1.138644 1.151627 1.105693
532 5.543882 1.137954 1.151227 1.104220
533 5.538218 1.137300 1.150967 1.104159
534 5.513840 1.137025 1.149956 1.103724
535 5.497655 1.136478 1.149241 1.103558
536 5.461338 1.135903 1.148640 1.103355
537 5.447119 1.134456 1.148527 1.103001
538 5.421935 1.133421 1.147822 1.102712
539 5.395146 1.132840 1.147416 1.102516
540 5.368929 1.132342 1.147302 1.101902
541 5.363626 1.131556 1.146820 1.101488
542 5.325611 1.131315 1.145695 1.101243
543 5.315886 1.131097 1.144863 1.100942
544 5.277655 1.130397 1.144715 1.100519
545 5.271963 1.129850 1.144084 1.100073
546 5.259353 1.129153 1.142861 1.099709
547 5.241642 1.128282 1.142055 1.099502
548 5.221584 1.127638 1.141132 1.098698
549 5.174233 1.127038 1.140220 1.098432
550 5.129044 1.126634 1.139822 1.098168
551 5.107663 1.126101 1.139255 1.097220
552 5.096409 1.125758 1.138457 1.097102
553 5.086038 1.125591 1.138062 1.096403
554 5.047186 1.124827 1.137285 1.095869
555 5.038853 1.124398 1.136532 1.095613
556 5.033687 1.123554 1.136241 1.095425
557 5.004931 1.123137 1.135891 1.095166
558 4.985378 1.122815 1.135276 1.094834
559 4.944502 1.122653 1.134770 1.094103
560 4.934997 1.121600 1.133716 1.093755
561 4.894578 1.121009 1.133634 1.093449
562 4.889422 1.120258 1.132908 1.092730
563 4.875099 1.119462 1.132759 1.092282
564 4.835154 1.119148 1.132306 1.091845
565 4.803994 1.118585 1.131454 1.091539
566 4.788418 1.118455 1.131289 1.090681
567 4.772133 1.117922 1.130608 1.090611
568 4.759284 1.117013 1.129868 1.089773
569 4.723369 1.116301 1.129406 1.089240
570 4.715385 1.115993 1.128893 1.088984
571 4.697056 1.114945 1.128611 1.088606
572 4.683290 1.114582 1.128094 1.088199
573 4.675221 1.113891 1.127582 1.087768
574 4.635855 1.111994 1.127116 1.087304
575 4.619006 1.110629 1.126760 1.086956
576 4.603575 1.109603 1.125492 1.085528
577 4.564086 1.109298 1.124793 1.085092
578 4.553987 1.108908 1.124214 1.084108
579 4.545898 1.108796 1.123728 1.083758
580 4.510805 1.108053 1.123450 1.083605
581 4.494990 1.107829 1.122584 1.083032
582 4.492610 1.107364 1.122102 1.082764
583 4.459191 1.106908 1.121495 1.082473
584 4.435272 1.106103 1.121130 1.082119
585 4.428727 1.105879 1.120009 1.081775
586 4.389379 1.105263 1.119778 1.081361
587 4.383950 1.103927 1.118831 1.081312
588 4.372986 1.103525 1.118576 1.080816
589 4.366456 1.103117 1.118092 1.080634
590 4.340090 1.102927 1.117331 1.080376
591 4.307300 1.102554 1.116787 1.079969
592 4.283962 1.101402 1.116395 1.079804
593 4.263464 1.101220 1.115887 1.079522
594 4.245815 1.100918 1.115040 1.079254
595 4.237622 1.100571 1.114674 1.079160
596 4.216451 1.099358 1.114207 1.078630
597 4.199986 1.098151 1.113640 1.078128
598 4.172702 1.097764 1.113296 1.077533
599 4.158588 1.097000 1.113062 1.077258
600 4.126921 1.096296 1.112525 1.076134
601 4.102348 1.095917 1.111438 1.075666
602 4.082886 1.095612 1.110947 1.075528
603 4.064820 1.094993 1.110292 1.075062
604 4.053859 1.094917 1.109996 1.074583
605 4.039312 1.094223 1.109445 1.074456
606 4.000225 1.093783 1.109217 1.073814
607 3.985471 1.093477 1.108547 1.073560
608 3.973580 1.092599 1.107776 1.073304
609 3.954246 1.091820 1.107186 1.072991
610 3.932771 1.091717 1.106938 1.072711
611 3.918975 1.091166 1.106141 1.072589
612 3.916554 1.090241 1.105726 1.072514
613 3.910869 1.090185 1.104954 1.072115
614 3.888909 1.089048 1.104515 1.071483
615 3.866071 1.088557 1.104194 1.071303
616 3.838889 1.088067 1.103964 1.070988
617 3.811746 1.087535 1.103621 1.070492
618 3.796533 1.086940 1.103113 1.070247
619 3.788312 1.086751 1.102690 1.069873
620 3.774931 1.085737 1.101798 1.069786
621 3.766709 1.085398 1.100371 1.069539
622 3.761863 1.084803 1.099733 1.068947
623 3.744089 1.084011 1.099142 1.068769
624 3.727288 1.083852 1.098717 1.068035
625 3.700353 1.083138 1.098488 1.067916
626 3.679150 1.082590 1.098390 1.067482
627 3.667574 1.082432 1.097893 1.067343
628 3.667019 1.082058 1.097588 1.066721
629 3.645443 1.081355 1.097472 1.066304
630 3.634525 1.080955 1.096776 1.065829
631 3.604235 1.080479 1.096195 1.065556
