k    none    reg    psf1      psf5      psf25
430  2.9748317728e+00   1.0492246862e+00   1.0466912158e+00   1.0428517287e+00    1.0247720546e+00
435  2.9610101077e+00   1.0441532396e+00   1.0463161667e+00   1.0422488113e+00    1.0241556770e+00
440  2.9407678699e+00   1.0403521071e+00   1.0456677258e+00   1.0415948187e+00    1.0236220095e+00
445  2.9346943046e+00   1.0374558146e+00   1.0451835086e+00   1.0411479284e+00    1.0232917380e+00
450  2.9289017422e+00   1.0344150958e+00   1.0445021095e+00   1.0405573798e+00    1.0227552293e+00
455  2.9214421281e+00   1.0321810067e+00   1.0440299853e+00   1.0400299037e+00    1.0223282743e+00
460  2.9109261225e+00   1.0297818598e+00   1.0434833524e+00   1.0396109017e+00    1.0219476639e+00
465  2.9005292986e+00   1.0275623969e+00   1.0429017572e+00   1.0391724651e+00    1.0213211835e+00
470  2.8885667063e+00   1.0254652761e+00   1.0424034205e+00   1.0386814288e+00    1.0208688321e+00
475  2.8786561621e+00   1.0233323448e+00   1.0419708616e+00   1.0383250520e+00    1.0204809875e+00
480  2.8686022632e+00   1.0215944082e+00   1.0414340679e+00   1.0377254307e+00    1.0201049139e+00
485  2.8616252154e+00   1.0198647127e+00   1.0410257275e+00   1.0371441033e+00    1.0196908431e+00
490  2.8518247379e+00   1.0181113493e+00   1.0406385830e+00   1.0367377028e+00    1.0193612321e+00
495  2.8468872897e+00   1.0171847824e+00   1.0400750941e+00   1.0363640465e+00    1.0190683498e+00
500  2.8375968489e+00   1.0160677100e+00   1.0395848581e+00   1.0359318023e+00    1.0186716408e+00
505  2.8315505417e+00   1.0150117421e+00   1.0391511709e+00   1.0355047414e+00    1.0183385185e+00
510  2.8262696771e+00   1.0134277808e+00   1.0388510642e+00   1.0350367132e+00    1.0180189225e+00
515  2.8150416472e+00   1.0125237373e+00   1.0382583305e+00   1.0346443688e+00    1.0176572519e+00
520  2.8076025844e+00   1.0114913873e+00   1.0378426431e+00   1.0342053282e+00    1.0173932631e+00
525  2.7992964361e+00   1.0107700887e+00   1.0374709295e+00   1.0338273707e+00    1.0170314018e+00
530  2.7905741351e+00   1.0101204628e+00   1.0371153313e+00   1.0334048858e+00    1.0168033999e+00
535  2.7850335778e+00   1.0093672391e+00   1.0366251200e+00   1.0330419648e+00    1.0164226453e+00
540  2.7779725300e+00   1.0087435859e+00   1.0361984555e+00   1.0327364297e+00    1.0161302035e+00
545  2.7705947816e+00   1.0080908954e+00   1.0356795241e+00   1.0321970893e+00    1.0158865934e+00
550  2.7536331450e+00   1.0073753792e+00   1.0352795535e+00   1.0318682807e+00    1.0156247196e+00
555  2.7481414204e+00   1.0069792856e+00   1.0350520680e+00   1.0314410402e+00    1.0152954856e+00
560  2.7392216893e+00   1.0063935977e+00   1.0347398849e+00   1.0311567215e+00    1.0150550312e+00
565  2.7295575082e+00   1.0059698157e+00   1.0343125230e+00   1.0307213347e+00    1.0148069821e+00
570  2.7255779190e+00   1.0054633876e+00   1.0340318457e+00   1.0304032896e+00    1.0145548608e+00
575  2.7180081652e+00   1.0050978291e+00   1.0336069647e+00   1.0299324932e+00    1.0143072879e+00
580  2.7111546996e+00   1.0047202965e+00   1.0332483908e+00   1.0295865881e+00    1.0140991254e+00
585  2.7072596082e+00   1.0044177976e+00   1.0329728943e+00   1.0292315647e+00    1.0138792535e+00
590  2.7011833308e+00   1.0040328049e+00   1.0326598682e+00   1.0289351950e+00    1.0136442624e+00
595  2.6962762345e+00   1.0037577996e+00   1.0323274636e+00   1.0285795563e+00    1.0134370222e+00
600  2.6915171996e+00   1.0035625979e+00   1.0320397907e+00   1.0282723387e+00    1.0132791492e+00
605  2.6808386309e+00   1.0033186208e+00   1.0316613693e+00   1.0279157410e+00    1.0130603903e+00
610  2.6797386699e+00   1.0030766438e+00   1.0314221284e+00   1.0275631263e+00    1.0128361845e+00
615  2.6728990882e+00   1.0028653134e+00   1.0310325068e+00   1.0273238299e+00    1.0126429082e+00
620  2.6663745588e+00   1.0026591332e+00   1.0307489608e+00   1.0270645823e+00    1.0124823690e+00
625  2.6578038365e+00   1.0024933852e+00   1.0303961206e+00   1.0267258894e+00    1.0122499487e+00
630  2.6533085496e+00   1.0023192098e+00   1.0301467491e+00   1.0264163253e+00    1.0120341290e+00
635  2.6458670504e+00   1.0021787683e+00   1.0298769455e+00   1.0261772729e+00    1.0118801018e+00
640  2.6366074219e+00   1.0020397867e+00   1.0295718655e+00   1.0258783121e+00    1.0116695865e+00
645  2.6286929015e+00   1.0018726405e+00   1.0293140579e+00   1.0256134720e+00    1.0114979667e+00
650  2.6196401055e+00   1.0017636912e+00   1.0290451891e+00   1.0253429208e+00    1.0112998448e+00
655  2.6132919088e+00   1.0016489811e+00   1.0287609587e+00   1.0251207968e+00    1.0111553393e+00
660  2.6095743790e+00   1.0015185103e+00   1.0284796201e+00   1.0248288796e+00    1.0109828163e+00
665  2.6043654680e+00   1.0014147129e+00   1.0282652071e+00   1.0246085924e+00    1.0108538496e+00
670  2.5982803119e+00   1.0013063324e+00   1.0279658087e+00   1.0243943665e+00    1.0106492567e+00
675  2.5912169839e+00   1.0012415100e+00   1.0276650892e+00   1.0241371788e+00    1.0105374656e+00
680  2.5830603028e+00   1.0011468257e+00   1.0273884708e+00   1.0238261779e+00    1.0104018843e+00
685  2.5805322229e+00   1.0010847965e+00   1.0271665290e+00   1.0236021551e+00    1.0102391552e+00
690  2.5767229056e+00   1.0010167944e+00   1.0269129464e+00   1.0233895772e+00    1.0100918222e+00
695  2.5710617795e+00   1.0009491357e+00   1.0266941278e+00   1.0231342904e+00    1.0099552622e+00
700  2.5649713723e+00   1.0009025763e+00   1.0264720041e+00   1.0228453659e+00    1.0098471939e+00
705  2.5605560366e+00   1.0008404939e+00   1.0262347506e+00   1.0225757851e+00    1.0097288091e+00
710  2.5546770310e+00   1.0007888156e+00   1.0259523400e+00   1.0223542227e+00    1.0095346416e+00
715  2.5500486040e+00   1.0007477005e+00   1.0257019526e+00   1.0221718692e+00    1.0094052966e+00
720  2.5436452088e+00   1.0006960581e+00   1.0255251177e+00   1.0219639174e+00    1.0092916295e+00
725  2.5361109456e+00   1.0006542838e+00   1.0252673854e+00   1.0217639407e+00    1.0091702419e+00
730  2.5292612418e+00   1.0006260080e+00   1.0250330978e+00   1.0215700311e+00    1.0090555803e+00
735  2.5266186216e+00   1.0005630888e+00   1.0248504305e+00   1.0213345491e+00    1.0089305376e+00
740  2.5221600179e+00   1.0005336300e+00   1.0246742658e+00   1.0210836739e+00    1.0088144665e+00
745  2.5156697467e+00   1.0005069946e+00   1.0243986660e+00   1.0208924799e+00    1.0087011392e+00
750  2.5106070495e+00   1.0004697332e+00   1.0241861866e+00   1.0206845517e+00    1.0085702245e+00
755  2.5063164264e+00   1.0004382283e+00   1.0240107883e+00   1.0204732059e+00    1.0084735297e+00
760  2.4966189810e+00   1.0004117417e+00   1.0237858254e+00   1.0202997248e+00    1.0083749470e+00
765  2.4919875521e+00   1.0003825592e+00   1.0236098149e+00   1.0200865793e+00    1.0082740610e+00
770  2.4869556344e+00   1.0003631913e+00   1.0234768027e+00   1.0198787479e+00    1.0081497481e+00
775  2.4755928495e+00   1.0003352619e+00   1.0232751733e+00   1.0197330452e+00    1.0080661633e+00
780  2.4698363856e+00   1.0003185299e+00   1.0230510778e+00   1.0195476539e+00    1.0079483178e+00
785  2.4658359709e+00   1.0003016843e+00   1.0228353871e+00   1.0193554670e+00    1.0078664032e+00
790  2.4608420578e+00   1.0002805364e+00   1.0226839156e+00   1.0191536447e+00    1.0077693569e+00
795  2.4546230427e+00   1.0002664234e+00   1.0224767872e+00   1.0189939115e+00    1.0076689156e+00
800  2.4498537024e+00   1.0002498312e+00   1.0222484251e+00   1.0188246676e+00    1.0075748370e+00
805  2.4457049620e+00   1.0002333327e+00   1.0220956654e+00   1.0186411874e+00    1.0074625983e+00
810  2.4398007194e+00   1.0002229503e+00   1.0219316231e+00   1.0185197825e+00    1.0073729216e+00
815  2.4338410454e+00   1.0002089096e+00   1.0217104801e+00   1.0183546101e+00    1.0072985823e+00
820  2.4267119031e+00   1.0001966599e+00   1.0216042071e+00   1.0181487989e+00    1.0072103198e+00
825  2.4251452739e+00   1.0001857473e+00   1.0214118665e+00   1.0179800598e+00    1.0071159993e+00
830  2.4194490517e+00   1.0001736738e+00   1.0211861598e+00   1.0178246232e+00    1.0070564736e+00
835  2.4160903369e+00   1.0001613314e+00   1.0210045194e+00   1.0176914987e+00    1.0069744589e+00
